"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
CO-039,"Elbert County",42.4,125,6.9,35.5
CO-041,"El Paso County",43.7,125,7.3,36.4
CO-043,"Fremont County",40.8,124,5.9,34.9
CO-045,"Garfield County",38.5,126,7.5,31
CO-047,"Gilpin County",36.6,124,7.1,29.5
CO-049,"Grand County",34.1,126,8.1,26
CO-051,"Gunnison County",34.8,126,7.7,27.1
CO-053,"Hinsdale County",34.6,126,9.1,25.5
CO-055,"Huerfano County",43.8,125,8.0,35.8
CO-057,"Jackson County",33.1,124,7.9,25.2
CO-059,"Jefferson County",42.2,124,6.3,35.9
CO-061,"Kiowa County",44.2,120,5.4,38.8
CO-063,"Kit Carson County",45.2,124,7.5,37.7
CO-065,"Lake County",31.3,124,7.2,24.1
CO-067,"La Plata County",41.5,126,7.5,34
CO-069,"Larimer County",39.2,125,8.3,30.9
CO-071,"Las Animas County",46.1,125,6.7,39.4
CO-073,"Lincoln County",43.5,125,6.5,37
CO-075,"Logan County",43.6,124,7.0,36.6
CO-077,"Mesa County",41.8,126,7.9,33.9
CO-079,"Mineral County",35.2,126,9.0,26.2
CO-081,"Moffat County",39.0,126,8.4,30.6
CO-083,"Montezuma County",42.8,125,6.2,36.6
CO-085,"Montrose County",42.0,125,7.7,34.3
CO-087,"Morgan County",43.9,125,8.6,35.3
CO-089,"Otero County",46.6,123,6.6,40
CO-091,"Ouray County",38.1,125,8.3,29.8
CO-093,"Park County",35.0,124,6.7,28.3
CO-095,"Phillips County",44.0,125,7.7,36.3
CO-097,"Pitkin County",34.2,125,7.4,26.8
CO-099,"Prowers County",44.9,118,4.6,40.3
CO-101,"Pueblo County",46.4,124,6.6,39.8
CO-103,"Rio Blanco County",39.3,126,8.1,31.2
CO-105,"Rio Grande County",36.6,126,8.1,28.5
CO-107,"Routt County",35.9,126,8.3,27.6
CO-109,"Saguache County",35.0,126,6.7,28.3
CO-111,"San Juan County",34.1,126,9.0,25.1
CO-113,"San Miguel County",40.9,126,8.1,32.8
CO-115,"Sedgwick County",43.8,125,7.3,36.5
CO-117,"Summit County",32.1,125,7.6,24.5
CO-119,"Teller County",37.2,124,6.8,30.4
CO-121,"Washington County",44.5,124,8.1,36.4
CO-123,"Weld County",43.9,126,8.5,35.4
CO-125,"Yuma County",45.1,125,8.0,37.1
CT-001,"Fairfield County",41.8,70,0.5,41.3
CT-003,"Hartford County",40.9,75,0.7,40.2
CT-005,"Litchfield County",38.3,66,0.3,38
CT-007,"Middlesex County",41.8,69,0.5,41.3
CT-009,"New Haven County",41.3,67,0.2,41.1
CT-011,"New London County",42.5,78,1.1,41.4
CT-013,"Tolland County",40.8,83,1.2,39.6
CT-015,"Windham County",41.0,78,1.1,39.9
DE-001,"Kent County",45.2,57,-0.2,45.4
DE-003,"New Castle County",44.2,60,-0.2,44.4
DE-005,"Sussex County",46.5,59,0.0,46.5
FL-001,"Alachua County",59.9,32,-1.9,61.8
FL-003,"Baker County",58.2,36,-1.7,59.9
FL-005,"Bay County",58.5,53,-0.8,59.3
FL-007,"Bradford County",59.4,35,-1.9,61.3
FL-009,"Brevard County",66.9,51,-0.5,67.4
FL-011,"Broward County",71.2,65,0.3,70.9
FL-013,"Calhoun County",57.4,49,-1.1,58.5
FL-015,"Charlotte County",68.7,67,0.4,68.3
FL-017,"Citrus County",63.1,52,-0.6,63.7
FL-019,"Clay County",60.4,39,-1.4,61.8
FL-021,"Collier County",70.6,59,0.2,70.4
FL-023,"Columbia County",58.2,37,-1.8,60
FL-027,"DeSoto County",67.2,60,-0.1,67.3
FL-029,"Dixie County",59.3,37,-1.8,61.1
FL-031,"Duval County",60.1,40,-1.2,61.3
FL-033,"Escambia County",58.0,62,-0.5,58.5
FL-035,"Flagler County",63.6,58,-0.2,63.8
FL-037,"Franklin County",58.6,38,-1.6,60.2
FL-039,"Gadsden County",56.8,35,-1.7,58.5
FL-041,"Gilchrist County",59.0,33,-1.9,60.9
FL-043,"Glades County",68.6,65,0.3,68.3
FL-045,"Gulf County",58.7,51,-0.9,59.6
FL-047,"Hamilton County",57.1,37,-1.9,59
FL-049,"Hardee County",66.4,59,-0.3,66.7
FL-051,"Hendry County",69.4,61,0.2,69.2
FL-053,"Hernando County",64.1,59,-0.2,64.3
FL-055,"Highlands County",67.6,64,0.3,67.3
FL-057,"Hillsborough County",66.2,59,0.1,66.1
FL-059,"Holmes County",55.7,38,-1.8,57.5
FL-061,"Indian River County",67.9,61,0.1,67.8
FL-063,"Jackson County",56.3,37,-1.8,58.1
FL-065,"Jefferson County",57.2,37,-1.8,59
FL-067,"Lafayette County",58.6,44,-1.5,60.1
FL-069,"Lake County",64.7,60,0.1,64.6
FL-071,"Lee County",70.1,76,0.8,69.3
FL-073,"Leon County",57.1,33,-1.8,58.9
FL-075,"Levy County",60.2,32,-1.9,62.1
FL-077,"Liberty County",57.7,46,-1.2,58.9
FL-079,"Madison County",57.2,39,-1.6,58.8
FL-081,"Manatee County",66.2,48,-0.7,66.9
FL-083,"Marion County",62.4,52,-0.7,63.1
FL-085,"Martin County",69.6,64,0.1,69.5
FL-086,"Miami-Dade County",71.8,65,0.4,71.4
FL-087,"Monroe County",72.2,58,0.2,72
FL-089,"Nassau County",58.7,42,-1.4,60.1
FL-091,"Okaloosa County",57.6,62,-0.4,58
FL-093,"Okeechobee County",68.0,64,0.1,67.9
FL-095,"Orange County",66.2,61,0.1,66.1
FL-097,"Osceola County",66.8,59,-0.1,66.9
FL-099,"Palm Beach County",70.1,64,0.1,70
FL-101,"Pasco County",64.8,59,-0.1,64.9
FL-103,"Pinellas County",67.1,61,0.2,66.9
FL-105,"Polk County",66.2,60,-0.1,66.3
FL-107,"Putnam County",62.0,53,-0.8,62.8
FL-109,"St. Johns County",62.1,49,-0.8,62.9
FL-111,"St. Lucie County",68.9,59,0.0,68.9
FL-113,"Santa Rosa County",58.0,63,-0.3,58.3
FL-115,"Sarasota County",66.4,39,-1.2,67.6
FL-117,"Seminole County",66.1,61,0.3,65.8
FL-119,"Sumter County",64.0,60,-0.1,64.1
