"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
KY-193,"Perry County",43.3,38,-1.8,45.1
KY-195,"Pike County",43.4,35,-2.0,45.4
KY-197,"Powell County",43.6,43,-1.4,45
KY-199,"Pulaski County",43.0,30,-2.2,45.2
KY-201,"Robertson County",42.5,49,-1.0,43.5
KY-203,"Rockcastle County",42.9,35,-2.0,44.9
KY-205,"Rowan County",42.9,47,-0.9,43.8
KY-207,"Russell County",43.5,34,-2.0,45.5
KY-209,"Scott County",43.1,52,-0.7,43.8
KY-211,"Shelby County",43.1,49,-0.9,44
KY-213,"Simpson County",44.5,26,-2.5,47
KY-215,"Spencer County",43.6,48,-1.0,44.6
KY-217,"Taylor County",43.8,40,-1.5,45.3
KY-219,"Todd County",43.7,18,-3.2,46.9
KY-221,"Trigg County",44.0,22,-3.1,47.1
KY-223,"Trimble County",42.4,42,-1.3,43.7
KY-225,"Union County",43.2,27,-2.7,45.9
KY-227,"Warren County",44.9,30,-2.0,46.9
KY-229,"Washington County",43.7,46,-1.1,44.8
KY-231,"Wayne County",43.3,31,-2.1,45.4
KY-233,"Webster County",43.5,25,-2.7,46.2
KY-235,"Whitley County",42.8,27,-2.4,45.2
KY-237,"Wolfe County",43.6,42,-1.3,44.9
KY-239,"Woodford County",43.6,53,-0.7,44.3
LA-001,"Acadia Parish",58.2,46,-1.2,59.4
LA-003,"Allen Parish",56.7,43,-1.6,58.3
LA-005,"Ascension Parish",58.6,54,-0.6,59.2
LA-007,"Assumption Parish",59.1,53,-0.8,59.9
LA-009,"Avoyelles Parish",56.2,47,-1.3,57.5
LA-011,"Beauregard Parish",57.0,52,-1.0,58
LA-013,"Bienville Parish",54.5,68,0.4,54.1
LA-015,"Bossier Parish",54.0,62,-0.2,54.2
LA-017,"Caddo Parish",54.1,58,-0.5,54.6
LA-019,"Calcasieu Parish",58.3,51,-1.0,59.3
LA-021,"Caldwell Parish",53.5,46,-1.6,55.1
LA-023,"Cameron Parish",59.7,53,-0.8,60.5
LA-025,"Catahoula Parish",54.5,43,-1.7,56.2
LA-027,"Claiborne Parish",52.7,55,-0.8,53.5
LA-029,"Concordia Parish",55.2,46,-1.5,56.7
LA-031,"De Soto Parish",55.1,64,0.1,55
LA-033,"East Baton Rouge Parish",57.6,55,-0.8,58.4
LA-035,"East Carroll Parish",53.2,55,-1.0,54.2
LA-037,"East Feliciana Parish",56.5,50,-1.0,57.5
LA-039,"Evangeline Parish",56.9,46,-1.4,58.3
LA-041,"Franklin Parish",53.8,45,-1.5,55.3
LA-043,"Grant Parish",54.3,44,-1.7,56
LA-045,"Iberia Parish",59.5,56,-0.6,60.1
LA-047,"Iberville Parish",58.7,62,-0.4,59.1
LA-049,"Jackson Parish",53.2,55,-0.8,54
LA-051,"Jefferson Parish",59.8,47,-1.1,60.9
LA-053,"Jefferson Davis Parish",58.1,42,-1.5,59.6
LA-055,"Lafayette Parish",58.6,52,-0.8,59.4
LA-057,"Lafourche Parish",59.8,43,-1.4,61.2
LA-059,"La Salle Parish",54.2,42,-1.8,56
LA-061,"Lincoln Parish",52.9,57,-0.7,53.6
LA-063,"Livingston Parish",57.8,54,-0.8,58.6
LA-065,"Madison Parish",53.7,51,-1.2,54.9
LA-067,"Morehouse Parish",52.6,46,-1.3,53.9
LA-069,"Natchitoches Parish",54.9,56,-0.7,55.6
LA-071,"Orleans Parish",59.5,62,-0.5,60
LA-073,"Ouachita Parish",52.9,45,-1.4,54.3
LA-075,"Plaquemines Parish",60.9,44,-1.1,62
LA-077,"Pointe Coupee Parish",57.2,51,-0.9,58.1
LA-079,"Rapides Parish",55.6,47,-1.4,57
LA-081,"Red River Parish",55.2,68,0.4,54.8
LA-083,"Richland Parish",53.3,45,-1.5,54.8
LA-085,"Sabine Parish",55.3,59,-0.3,55.6
LA-087,"St. Bernard Parish",59.8,55,-0.8,60.6
LA-089,"St. Charles Parish",59.3,51,-1.0,60.3
LA-091,"St. Helena Parish",56.6,58,-0.6,57.2
LA-093,"St. James Parish",58.7,51,-0.9,59.6
LA-095,"St. John the Baptist Parish",58.8,54,-0.8,59.6
LA-097,"St. Landry Parish",57.4,49,-1.1,58.5
LA-099,"St. Martin Parish",58.8,53,-0.6,59.4
LA-101,"St. Mary Parish",60.1,59,-0.3,60.4
LA-103,"St. Tammany Parish",57.8,64,-0.5,58.3
LA-105,"Tangipahoa Parish",57.2,60,-0.5,57.7
LA-107,"Tensas Parish",54.2,48,-1.4,55.6
LA-109,"Terrebonne Parish",60.2,46,-1.2,61.4
LA-111,"Union Parish",52.4,50,-1.2,53.6
LA-113,"Vermilion Parish",59.6,55,-0.8,60.4
LA-115,"Vernon Parish",56.1,56,-0.5,56.6
LA-117,"Washington Parish",56.8,67,-0.2,57
LA-119,"Webster Parish",53.8,61,-0.2,54
LA-121,"West Baton Rouge Parish",57.9,55,-0.8,58.7
LA-123,"West Carroll Parish",53.0,52,-1.1,54.1
LA-125,"West Feliciana Parish",56.6,51,-1.0,57.6
LA-127,"Winn Parish",53.8,50,-1.2,55
ME-001,"Androscoggin County",38.3,105,3.1,35.2
ME-003,"Aroostook County",33.5,108,3.8,29.7
ME-005,"Cumberland County",38.4,95,2.2,36.2
ME-007,"Franklin County",33.6,104,3.3,30.3
ME-009,"Hancock County",38.5,101,2.5,36
ME-011,"Kennebec County",38.5,108,3.5,35
ME-013,"Knox County",39.4,102,2.7,36.7
ME-015,"Lincoln County",39.4,103,2.9,36.5
ME-017,"Oxford County",35.2,104,2.9,32.3
ME-019,"Penobscot County",36.4,105,3.2,33.2
ME-021,"Piscataquis County",33.8,108,3.7,30.1
ME-023,"Sagadahoc County",39.3,98,2.8,36.5
ME-025,"Somerset County",34.1,108,3.6,30.5
ME-027,"Waldo County",38.3,105,3.0,35.3
ME-029,"Washington County",38.5,106,3.2,35.3
ME-031,"York County",39.0,95,2.1,36.9
MD-001,"Allegany County",41.2,52,-0.7,41.9
MD-003,"Anne Arundel County",46.4,60,0.0,46.4
MD-005,"Baltimore County",43.7,58,-0.1,43.8
MD-009,"Calvert County",47.4,71,0.5,46.9
MD-011,"Caroline County",45.6,57,-0.3,45.9
MD-013,"Carroll County",42.4,55,-0.2,42.6
MD-015,"Cecil County",43.9,54,-0.4,44.3
MD-017,"Charles County",47.2,75,0.7,46.5
MD-019,"Dorchester County",47.3,66,0.3,47
MD-021,"Frederick County",42.8,54,-0.3,43.1
MD-023,"Garrett County",37.7,52,-0.6,38.3
MD-025,"Harford County",43.7,53,-0.4,44.1
MD-027,"Howard County",43.7,59,0.0,43.7
MD-029,"Kent County",45.2,52,-0.5,45.7
MD-031,"Montgomery County",44.0,57,-0.2,44.2
MD-033,"Prince George's County",45.9,65,0.1,45.8
MD-035,"Queen Anne's County",45.5,54,-0.4,45.9
MD-037,"St. Mary's County",48.0,76,0.8,47.2
MD-039,"Somerset County",47.7,52,-0.2,47.9
MD-041,"Talbot County",46.9,58,0.1,46.8
MD-043,"Washington County",42.3,57,-0.3,42.6
MD-045,"Wicomico County",47.0,58,0.0,47
MD-047,"Worcester County",47.7,53,-0.1,47.8
MD-510,"Baltimore City",45.7,59,0.1,45.6
MD-511,"Washington, D.C.",45.8,62,0.0,45.8
MA-001,"Barnstable County",45.0,93,1.9,43.1
MA-003,"Berkshire County",37.0,75,0.9,36.1
MA-005,"Bristol County",43.0,80,1.1,41.9
MA-007,"Dukes County",45.0,82,1.3,43.7
MA-009,"Essex County",42.2,96,2.3,39.9
MA-011,"Franklin County",39.0,90,2.0,37
MA-013,"Hampden County",39.7,78,0.9,38.8
MA-015,"Hampshire County",39.4,83,1.3,38.1
MA-017,"Middlesex County",41.4,94,2.0,39.4
MA-019,"Nantucket County",46.4,98,2.4,44
MA-021,"Norfolk County",42.0,87,1.5,40.5
MA-023,"Plymouth County",43.4,86,1.5,41.9
MA-025,"Suffolk County",43.2,95,2.1,41.1
MA-027,"Worcester County",40.1,92,1.9,38.2
MI-001,"Alcona County",36.6,96,2.4,34.2
MI-003,"Alger County",34.1,92,2.3,31.8
MI-005,"Allegan County",38.8,67,0.3,38.5
MI-007,"Alpena County",36.5,96,2.4,34.1
MI-009,"Antrim County",37.0,97,2.7,34.3
MI-011,"Arenac County",37.9,94,2.2,35.7
MI-013,"Baraga County",31.3,92,2.6,28.7
MI-015,"Barry County",38.0,73,0.7,37.3
MI-017,"Bay County",38.5,89,1.9,36.6
MI-019,"Benzie County",37.3,95,2.6,34.7
MI-021,"Berrien County",39.3,62,0.1,39.2
MI-023,"Branch County",38.4,69,0.6,37.8
MI-025,"Calhoun County",38.1,72,0.8,37.3
MI-027,"Cass County",38.5,62,0.3,38.2
MI-029,"Charlevoix County",37.4,101,2.8,34.6
MI-031,"Cheboygan County",36.2,96,2.5,33.7
MI-033,"Chippewa County",34.4,98,2.3,32.1
MI-035,"Clare County",36.0,88,1.8,34.2
MI-037,"Clinton County",38.3,79,1.1,37.2
MI-039,"Crawford County",35.5,93,2.6,32.9
MI-041,"Delta County",34.9,91,2.2,32.7
MI-043,"Dickinson County",32.0,90,2.4,29.6
MI-045,"Eaton County",37.9,73,0.8,37.1
MI-047,"Emmet County",37.2,103,3.1,34.1
MI-049,"Genesee County",38.2,77,1.2,37
MI-051,"Gladwin County",37.1,88,1.9,35.2
MI-053,"Gogebic County",30.2,80,2.0,28.2
MI-055,"Grand Traverse County",37.1,97,2.7,34.4
MI-057,"Gratiot County",38.0,82,1.4,36.6
MI-059,"Hillsdale County",37.8,67,0.4,37.4
MI-061,"Houghton County",33.1,100,3.3,29.8
MI-063,"Huron County",38.3,89,1.7,36.6
MI-065,"Ingham County",37.6,71,0.6,37
MI-067,"Ionia County",37.6,71,0.7,36.9
MI-069,"Iosco County",37.4,95,2.3,35.1
MI-071,"Iron County",30.0,87,2.2,27.8
MI-073,"Isabella County",37.0,83,1.5,35.5
MI-075,"Jackson County",37.2,59,0.2,37
MI-077,"Kalamazoo County",38.5,71,0.7,37.8
MI-079,"Kalkaska County",35.9,94,2.5,33.4
MI-081,"Kent County",37.7,69,0.6,37.1
MI-083,"Keweenaw County",34.6,107,4.0,30.6
MI-085,"Lake County",36.5,82,1.4,35.1
MI-087,"Lapeer County",38.1,81,1.1,37
MI-089,"Leelanau County",37.9,97,2.8,35.1
MI-091,"Lenawee County",38.6,68,0.5,38.1
MI-093,"Livingston County",37.4,70,0.7,36.7
MI-095,"Luce County",33.8,94,2.3,31.5
MI-097,"Mackinac County",35.2,100,2.5,32.7
MI-099,"Macomb County",39.6,79,1.0,38.6
MI-101,"Manistee County",37.3,90,2.0,35.3
MI-103,"Marquette County",32.2,93,2.7,29.5
MI-105,"Mason County",37.6,83,1.5,36.1
MI-107,"Mecosta County",36.1,77,1.0,35.1
MI-109,"Menominee County",34.4,89,2.4,32
MI-111,"Midland County",38.0,87,1.7,36.3
MI-113,"Missaukee County",35.5,89,2.2,33.3
MI-115,"Monroe County",40.1,69,0.7,39.4
MI-117,"Montcalm County",36.8,75,0.9,35.9
MI-119,"Montmorency County",35.7,91,2.3,33.4
MI-121,"Muskegon County",38.9,83,1.4,37.5
MI-123,"Newaygo County",37.0,78,1.0,36
MI-125,"Oakland County",38.2,78,1.0,37.2
MI-127,"Oceana County",37.8,85,1.5,36.3
MI-129,"Ogemaw County",36.2,93,2.3,33.9
MI-131,"Ontonagon County",31.8,88,2.4,29.4
MI-133,"Osceola County",35.4,83,1.5,33.9
MI-135,"Oscoda County",35.6,90,2.3,33.3
MI-137,"Otsego County",35.2,96,2.7,32.5
MI-139,"Ottawa County",39.0,71,0.7,38.3
MI-141,"Presque Isle County",36.0,90,2.1,33.9
MI-143,"Roscommon County",35.8,92,2.4,33.4
MI-145,"Saginaw County",38.5,85,1.6,36.9
MI-147,"St. Clair County",38.9,68,0.5,38.4
MI-149,"St. Joseph County",38.7,68,0.6,38.1
MI-151,"Sanilac County",38.1,76,1.0,37.1
MI-153,"Schoolcraft County",34.6,91,2.1,32.5
MI-155,"Shiawassee County",38.3,78,1.2,37.1
MI-157,"Tuscola County",38.3,86,1.5,36.8
MI-159,"Van Buren County",38.9,65,0.3,38.6
MI-161,"Washtenaw County",37.6,62,0.2,37.4
MI-163,"Wayne County",39.7,71,0.8,38.9
MI-165,"Wexford County",35.7,88,2.0,33.7
MN-001,"Aitkin County",30.6,93,3.5,27.1
MN-003,"Anoka County",35.4,100,4.5,30.9
MN-005,"Becker County",30.4,95,4.0,26.4
MN-007,"Beltrami County",29.1,95,4.0,25.1
MN-009,"Benton County",34.0,104,4.8,29.2
MN-011,"Big Stone County",35.0,106,5.4,29.6
MN-013,"Blue Earth County",35.8,92,3.4,32.4
MN-015,"Brown County",36.4,102,4.6,31.8
MN-017,"Carlton County",30.1,89,2.8,27.3
MN-019,"Carver County",35.2,97,3.9,31.3
MN-021,"Cass County",30.8,97,3.9,26.9
MN-023,"Chippewa County",35.6,106,5.3,30.3
MN-025,"Chisago County",34.5,99,4.0,30.5
MN-027,"Clay County",32.2,102,5.0,27.2
MN-029,"Clearwater County",29.0,94,3.7,25.3
MN-031,"Cook County",28.7,98,3.7,25
MN-033,"Cottonwood County",36.0,106,4.7,31.3
MN-035,"Crow Wing County",31.9,96,4.0,27.9
MN-037,"Dakota County",36.3,100,4.3,32
MN-039,"Dodge County",35.2,101,4.1,31.1
MN-041,"Douglas County",32.5,101,4.9,27.6
MN-043,"Faribault County",35.8,90,3.2,32.6
MN-045,"Fillmore County",35.9,99,3.8,32.1
MN-047,"Freeborn County",35.7,96,3.9,31.8
MN-049,"Goodhue County",35.5,98,3.8,31.7
MN-051,"Grant County",33.6,103,5.3,28.3
MN-053,"Hennepin County",35.6,102,4.5,31.1
MN-055,"Houston County",36.0,85,2.5,33.5
MN-057,"Hubbard County",29.8,94,3.5,26.3
MN-059,"Isanti County",34.2,98,4.1,30.1
MN-061,"Itasca County",29.2,94,3.6,25.6
MN-063,"Jackson County",36.0,103,4.4,31.6
MN-065,"Kanabec County",32.6,96,3.8,28.8
MN-067,"Kandiyohi County",34.7,107,5.1,29.6
MN-069,"Kittson County",29.0,102,5.4,23.6
MN-071,"Koochiching County",28.7,98,4.0,24.7
MN-073,"Lac qui Parle County",36.0,107,5.5,30.5
MN-075,"Lake County",28.4,93,3.6,24.8
MN-077,"Lake of the Woods County",29.3,103,5.1,24.2
MN-079,"Le Sueur County",35.6,95,3.8,31.8
MN-081,"Lincoln County",35.2,105,5.0,30.2
MN-083,"Lyon County",36.0,104,4.9,31.1
MN-085,"McLeod County",34.8,96,4.0,30.8
MN-087,"Mahnomen County",29.8,95,4.1,25.7
MN-089,"Marshall County",29.0,97,4.6,24.4
MN-091,"Martin County",35.9,94,3.8,32.1
MN-093,"Meeker County",34.5,102,4.7,29.8
MN-095,"Mille Lacs County",33.2,100,4.5,28.7
MN-097,"Morrison County",32.8,96,4.3,28.5
MN-099,"Mower County",35.9,105,4.5,31.4
MN-101,"Murray County",35.6,103,4.9,30.7
MN-103,"Nicollet County",35.8,97,3.9,31.9
MN-105,"Nobles County",36.1,104,4.6,31.5
MN-107,"Norman County",31.2,99,4.7,26.5
MN-109,"Olmsted County",35.4,100,3.8,31.6
MN-111,"Otter Tail County",31.9,100,4.7,27.2
MN-113,"Pennington County",29.0,96,4.0,25
MN-115,"Pine County",31.8,94,3.4,28.4
MN-117,"Pipestone County",35.3,102,4.7,30.6
MN-119,"Polk County",30.0,97,4.4,25.6
MN-121,"Pope County",33.7,104,5.3,28.4
MN-123,"Ramsey County",36.5,106,4.9,31.6
MN-125,"Red Lake County",29.4,96,4.0,25.4
MN-127,"Redwood County",36.3,104,4.8,31.5
MN-129,"Renville County",35.8,103,4.8,31
MN-131,"Rice County",35.6,96,4.0,31.6
MN-133,"Rock County",36.6,109,5.0,31.6
MN-135,"Roseau County",28.9,106,5.4,23.5
MN-137,"St. Louis County",28.1,91,3.2,24.9
MN-139,"Scott County",35.8,97,3.9,31.9
MN-141,"Sherburne County",34.6,102,4.7,29.9
MN-143,"Sibley County",35.4,97,3.9,31.5
MN-145,"Stearns County",33.8,103,4.9,28.9
MN-147,"Steele County",35.5,100,4.1,31.4
MN-149,"Stevens County",34.2,103,5.2,29
MN-151,"Swift County",34.9,105,5.3,29.6
MN-153,"Todd County",32.3,102,4.6,27.7
MN-155,"Traverse County",34.5,106,5.4,29.1
MN-157,"Wabasha County",35.5,93,3.3,32.2
MN-159,"Wadena County",31.1,94,4.0,27.1
MN-161,"Waseca County",35.6,95,3.7,31.9
MN-163,"Washington County",36.4,106,4.8,31.6
MN-165,"Watonwan County",36.1,98,4.1,32
MN-167,"Wilkin County",33.6,103,5.6,28
MN-169,"Winona County",35.8,96,3.2,32.6
MN-171,"Wright County",34.7,100,4.5,30.2
MN-173,"Yellow Medicine County",36.2,106,5.2,31
MS-001,"Adams County",55.2,51,-1.2,56.4
MS-003,"Alcorn County",48.6,51,-1.0,49.6
MS-005,"Amite County",56.0,62,-0.3,56.3
MS-007,"Attala County",52.9,69,0.1,52.8
MS-009,"Benton County",48.4,40,-1.6,50
MS-011,"Bolivar County",51.6,52,-0.9,52.5
MS-013,"Calhoun County",51.5,60,-0.6,52.1
MS-015,"Carroll County",53.7,76,1.1,52.6
MS-017,"Chickasaw County",51.1,54,-1.0,52.1
MS-019,"Choctaw County",52.1,65,-0.2,52.3
MS-021,"Claiborne County",54.6,59,-0.8,55.4
MS-023,"Clarke County",54.0,59,-0.5,54.5
MS-025,"Clay County",51.0,44,-1.6,52.6
MS-027,"Coahoma County",51.2,59,-0.6,51.8
MS-029,"Copiah County",54.6,59,-0.7,55.3
MS-031,"Covington County",54.9,62,-0.5,55.4
MS-033,"DeSoto County",49.8,43,-1.4,51.2
MS-035,"Forrest County",55.7,62,-0.5,56.2
MS-037,"Franklin County",55.6,65,-0.3,55.9
MS-039,"George County",55.7,49,-1.2,56.9
MS-041,"Greene County",55.4,59,-0.8,56.2
MS-043,"Grenada County",52.9,75,0.6,52.3
MS-045,"Hancock County",57.6,64,-0.4,58
MS-047,"Harrison County",57.1,56,-0.8,57.9
MS-049,"Hinds County",53.8,55,-1.1,54.9
MS-051,"Holmes County",54.0,72,0.6,53.4
MS-053,"Humphreys County",54.1,68,0.3,53.8
MS-055,"Issaquena County",53.5,57,-0.8,54.3
MS-057,"Itawamba County",50.2,53,-1.0,51.2
MS-059,"Jackson County",56.8,50,-1.2,58
MS-061,"Jasper County",54.0,61,-0.5,54.5
MS-063,"Jefferson County",55.1,62,-0.6,55.7
MS-065,"Jefferson Davis County",55.1,63,-0.4,55.5
MS-067,"Jones County",55.1,62,-0.4,55.5
MS-069,"Kemper County",51.8,47,-1.5,53.3
MS-071,"Lafayette County",50.2,46,-1.3,51.5
MS-073,"Lamar County",56.0,64,-0.2,56.2
MS-075,"Lauderdale County",52.9,58,-0.8,53.7
MS-077,"Lawrence County",55.4,62,-0.3,55.7
MS-079,"Leake County",52.5,58,-0.8,53.3
MS-081,"Lee County",50.6,55,-0.9,51.5
MS-083,"Leflore County",53.8,74,0.8,53
MS-085,"Lincoln County",55.4,66,-0.1,55.5
MS-087,"Lowndes County",50.7,37,-2.1,52.8
MS-089,"Madison County",53.4,55,-1.0,54.4
MS-091,"Marion County",56.3,66,-0.1,56.4
MS-093,"Marshall County",49.1,41,-1.5,50.6
MS-095,"Monroe County",50.6,46,-1.5,52.1
MS-097,"Montgomery County",53.1,75,0.8,52.3
MS-099,"Neshoba County",52.0,54,-0.9,52.9
MS-101,"Newton County",52.9,60,-0.6,53.5
MS-103,"Noxubee County",51.3,40,-1.8,53.1
MS-105,"Oktibbeha County",51.1,44,-1.6,52.7
MS-107,"Panola County",50.7,55,-1.0,51.7
MS-109,"Pearl River County",56.7,66,-0.3,57
MS-111,"Perry County",55.5,58,-0.7,56.2
MS-113,"Pike County",56.2,67,0.1,56.1
MS-115,"Pontotoc County",50.6,54,-1.0,51.6
MS-117,"Prentiss County",49.6,56,-0.8,50.4
MS-119,"Quitman County",51.4,61,-0.5,51.9
MS-121,"Rankin County",53.3,54,-1.1,54.4
MS-123,"Scott County",52.7,55,-0.9,53.6
MS-125,"Sharkey County",53.7,61,-0.5,54.2
MS-127,"Simpson County",54.0,57,-0.8,54.8
MS-129,"Smith County",53.7,57,-0.8,54.5
MS-131,"Stone County",56.0,57,-0.9,56.9
MS-133,"Sunflower County",52.9,64,-0.1,53
MS-135,"Tallahatchie County",52.5,71,0.2,52.3
MS-137,"Tate County",50.0,46,-1.4,51.4
MS-139,"Tippah County",48.6,46,-1.4,50
MS-141,"Tishomingo County",49.2,59,-0.5,49.7
MS-143,"Tunica County",50.6,51,-1.0,51.6
MS-145,"Union County",49.8,52,-1.2,51
MS-147,"Walthall County",56.3,67,0.0,56.3
MS-149,"Warren County",54.0,54,-1.0,55
MS-151,"Washington County",52.9,58,-0.6,53.5
MS-153,"Wayne County",54.9,59,-0.4,55.3
MS-155,"Webster County",52.0,66,-0.2,52.2
MS-157,"Wilkinson County",55.9,53,-0.9,56.8
MS-159,"Winston County",51.5,54,-1.1,52.6
MS-161,"Yalobusha County",51.7,66,-0.3,52
MS-163,"Yazoo County",53.9,58,-0.6,54.5
MO-001,"Adair County",42.6,93,2.8,39.8
MO-003,"Andrew County",44.3,101,3.5,40.8
MO-005,"Atchison County",44.1,112,4.4,39.7
MO-007,"Audrain County",44.2,83,2.1,42.1
MO-009,"Barry County",47.5,78,1.6,45.9
MO-011,"Barton County",47.9,86,2.0,45.9
MO-013,"Bates County",47.3,97,2.8,44.5
MO-015,"Benton County",46.9,94,2.8,44.1
MO-017,"Bollinger County",45.2,60,-0.3,45.5
MO-019,"Boone County",46.0,96,3.0,43
MO-021,"Buchanan County",44.9,100,3.3,41.6
MO-023,"Butler County",47.1,63,0.1,47
MO-025,"Caldwell County",44.5,101,3.4,41.1
MO-027,"Callaway County",45.7,90,2.5,43.2
MO-029,"Camden County",47.1,90,2.4,44.7
MO-031,"Cape Girardeau County",45.5,62,0.0,45.5
MO-033,"Carroll County",44.8,93,2.8,42
MO-035,"Carter County",45.1,59,-0.3,45.4
MO-037,"Cass County",46.9,110,3.8,43.1
MO-039,"Cedar County",47.8,89,2.3,45.5
MO-041,"Chariton County",44.5,90,2.5,42
MO-043,"Christian County",46.4,80,1.6,44.8
MO-045,"Clark County",41.8,75,1.3,40.5
MO-047,"Clay County",45.9,102,3.7,42.2
MO-049,"Clinton County",44.5,100,3.3,41.2
MO-051,"Cole County",46.9,91,2.8,44.1
MO-053,"Cooper County",46.2,95,3.0,43.2
MO-055,"Crawford County",45.2,84,1.6,43.6
MO-057,"Dade County",47.8,91,2.2,45.6
MO-059,"Dallas County",47.1,95,2.6,44.5
MO-061,"Daviess County",44.3,102,3.5,40.8
MO-063,"DeKalb County",43.8,95,3.1,40.7
MO-065,"Dent County",45.4,81,1.5,43.9
MO-067,"Douglas County",45.5,67,0.7,44.8
MO-069,"Dunklin County",48.1,62,0.0,48.1
MO-071,"Franklin County",45.0,78,1.4,43.6
MO-073,"Gasconade County",45.2,84,1.7,43.5
MO-075,"Gentry County",43.8,105,3.9,39.9
MO-077,"Greene County",46.9,92,2.2,44.7
MO-079,"Grundy County",44.2,102,3.4,40.8
MO-081,"Harrison County",43.5,106,3.9,39.6
MO-083,"Henry County",47.3,96,3.1,44.2
MO-085,"Hickory County",47.6,98,2.9,44.7
MO-087,"Holt County",44.8,107,3.9,40.9
MO-089,"Howard County",45.4,94,2.7,42.7
MO-091,"Howell County",45.8,71,0.9,44.9
MO-093,"Iron County",44.3,68,0.4,43.9
MO-095,"Jackson County",46.5,106,3.9,42.6
MO-097,"Jasper County",48.5,91,2.3,46.2
MO-099,"Jefferson County",45.8,80,1.4,44.4
MO-101,"Johnson County",46.4,100,3.5,42.9
MO-103,"Knox County",41.9,80,1.6,40.3
MO-105,"Laclede County",46.5,83,1.9,44.6
MO-107,"Lafayette County",45.6,97,3.2,42.4
MO-109,"Lawrence County",47.6,94,2.2,45.4
MO-111,"Lewis County",42.2,71,1.1,41.1
MO-113,"Lincoln County",44.3,79,1.5,42.8
MO-115,"Linn County",44.2,95,3.0,41.2
MO-117,"Livingston County",44.8,97,3.2,41.6
MO-119,"McDonald County",48.6,83,1.9,46.7
MO-121,"Macon County",43.2,87,2.3,40.9
MO-123,"Madison County",44.6,62,0.0,44.6
MO-125,"Maries County",46.6,89,2.2,44.4
MO-127,"Marion County",43.0,76,1.4,41.6
MO-129,"Mercer County",42.8,97,3.1,39.7
MO-131,"Miller County",47.0,89,2.5,44.5
MO-133,"Mississippi County",46.0,49,-1.0,47
MO-135,"Moniteau County",46.7,95,3.2,43.5
MO-137,"Monroe County",43.4,80,1.6,41.8
MO-139,"Montgomery County",44.2,80,1.5,42.7
MO-141,"Morgan County",46.3,93,2.8,43.5
MO-143,"New Madrid County",46.8,54,-0.8,47.6
MO-145,"Newton County",48.7,93,2.5,46.2
MO-147,"Nodaway County",43.9,113,4.5,39.4
MO-149,"Oregon County",46.2,74,0.9,45.3
MO-151,"Osage County",46.3,88,2.2,44.1
MO-153,"Ozark County",46.3,69,0.7,45.6
MO-155,"Pemiscot County",47.8,53,-0.7,48.5
MO-157,"Perry County",44.6,61,-0.2,44.8
MO-159,"Pettis County",46.0,93,2.8,43.2
MO-161,"Phelps County",46.4,86,1.9,44.5
MO-163,"Pike County",43.6,75,1.3,42.3
MO-165,"Platte County",46.0,105,3.8,42.2
MO-167,"Polk County",47.4,94,2.6,44.8
MO-169,"Pulaski County",46.7,86,2.0,44.7
MO-171,"Putnam County",41.9,88,2.4,39.5
MO-173,"Ralls County",43.5,78,1.6,41.9
MO-175,"Randolph County",44.1,87,2.2,41.9
MO-177,"Ray County",45.0,96,3.2,41.8
MO-179,"Reynolds County",44.1,59,-0.1,44.2
MO-181,"Ripley County",46.4,68,0.2,46.2
MO-183,"St. Charles County",45.2,80,1.4,43.8
MO-185,"St. Clair County",47.8,95,2.7,45.1
MO-186,"Ste. Genevieve County",44.9,67,0.3,44.6
MO-187,"St. Francois County",44.8,70,0.6,44.2
MO-189,"St. Louis County",45.6,76,1.2,44.4
MO-195,"Saline County",45.2,92,2.5,42.7
MO-197,"Schuyler County",41.7,84,2.3,39.4
MO-199,"Scotland County",41.7,85,1.9,39.8
MO-201,"Scott County",45.9,56,-0.6,46.5
MO-203,"Shannon County",45.1,66,0.4,44.7
MO-205,"Shelby County",42.3,73,1.3,41
MO-207,"Stoddard County",46.7,61,-0.4,47.1
MO-209,"Stone County",47.3,79,1.4,45.9
MO-211,"Sullivan County",43.2,95,3.0,40.2
MO-213,"Taney County",47.1,74,1.1,46
MO-215,"Texas County",45.5,73,1.1,44.4
MO-217,"Vernon County",47.6,88,2.2,45.4
MO-219,"Warren County",44.6,81,1.6,43
MO-221,"Washington County",44.9,78,1.2,43.7
MO-223,"Wayne County",45.2,59,-0.4,45.6
MO-225,"Webster County",45.9,86,1.9,44
MO-227,"Worth County",43.2,111,4.3,38.9
MO-229,"Wright County",45.5,73,1.2,44.3
MO-510,"St. Louis City",45.5,69,0.8,44.7
MT-001,"Beaverhead County",32.4,119,6.3,26.1
MT-003,"Big Horn County",40.3,123,8.1,32.2
MT-005,"Blaine County",35.9,114,6.9,29
MT-007,"Broadwater County",37.5,121,6.7,30.8
MT-009,"Carbon County",38.6,123,8.2,30.4
MT-011,"Carter County",38.0,121,7.8,30.2
MT-013,"Cascade County",38.9,117,7.1,31.8
MT-015,"Chouteau County",38.2,115,7.1,31.1
MT-017,"Custer County",38.6,121,7.4,31.2
MT-019,"Daniels County",31.6,112,6.5,25.1
MT-021,"Dawson County",36.2,116,7.0,29.2
MT-023,"Deer Lodge County",33.2,121,6.8,26.4
MT-025,"Fallon County",36.6,117,6.7,29.9
